s,Entries
42609,3602763
42610,2923886
42611,4383762
42612,5494148
42613,5604604
42614,5567839
42615,5501684
42616,3791672
42617,2886193
42618,2753492
42619,4624513
42620,5825838
42621,6177987
42622,6184223
42623,4307374
42624,3011881
42625,4645590
42626,6145001
42627,6325331
42628,6351940
42629,6346148
42630,4405253
42631,3034709
42632,4765070
42633,6172827
42634,6354432
42635,6355429
42636,6325224
42637,4449814
42638,3166412
42639,4934885
42640,6144353
42641,6303370
42642,6306709
42643,6307551
42644,4240567
42645,2969794
42646,4276426
42647,5399009
42648,6103450
42649,6381283
42650,6348397
42651,4441016
42652,2842932
42653,3878461
42654,5640921
42655,5483007
42656,6053633
42657,6340098
42658,4461537
42659,3127599
42660,4844050
42661,6075694
42662,6303789
42663,6327651
42664,6208445
42665,4332598
42666,3036757
42667,4897885
42668,6145841
42669,6320525
42670,6362528
42671,6320916
42672,4336699
42673,3138671
42674,4781533
42675,6263902
42676,6296109
42677,6322305
42678,6380798
42679,4581956
42680,3795586
42681,5473227
42682,5762094
42683,6074141
42684,6281447
42685,5649446
42686,4115666
42687,3057135
42688,5350779
42689,6007965
42690,6283312
42691,6362758
42692,6378324
42693,4123700
42694,2958269
42695,5297097
42696,6189017
42697,6114537
42698,2970362
42699,3306117
42700,3170106
42701,2730587
42702,5188527
42703,5971449
42704,6099870
42705,6288557
42706,6326150
42707,4299744
42708,3173741
42709,5400115
42710,6267864
42711,6323231
42712,6385323
42713,6390616
42714,4311467
42715,3178311
42716,5281132
42717,6164335
42718,6309718
42719,6243292
42720,6114766
42721,3927653
42722,3087373
42723,5300366
42724,6081235
42725,6011497
42726,5848816
42727,5430952
42728,3138111
42729,2036995
42730,2647019
42731,4387814
42732,5073231
42733,4848059
42734,4995401
42735,3520170
42736,2811234
42737,2799370
42738,5002338
42739,5785897
42740,5854657
42741,5754170
42742,3526831
42743,2460492
42744,4831657
42745,5681657
42746,5841393
42747,5891466
42748,5905985
42749,3697742
42750,2653494
42751,3353341
42752,5299031
42753,5818720
42754,5948201
42755,5874993
42756,3958352
42757,2674173
42758,4857229
42759,5424217
42760,5795295
42761,5906994
42762,5807472
42763,3766411
42764,2791023
42765,4996218
42766,5860909
42767,6004911
42768,6101871
42769,6053747
42770,3780304
42771,2725025
42772,5123089
42773,5924565
42774,6122507
42775,3965450
42776,5258946
42777,3910341
42778,2659754
42779,4983755
42780,6065288
42781,6142910
42782,6045928
42783,6019405
42784,3823298
42785,2970561
42786,3341714
42787,5183300
42788,5731934
42789,5840477
42790,5794604
42791,3862342
42792,2708472
42793,5153202
42794,6039656
42795,6088978
42796,6193487
42797,6210736
42798,3793699
42799,2700309
42800,5216233
42801,6096879
42802,6258709
42803,6290125
42804,5994892
42805,3788320
42806,2426168
42807,4763671
42808,3023830
42809,4167774
42810,6301607
42811,6507458
42812,4531834
42813,2974954
42814,4869131
42815,6153679
42816,6275613
42817,6204988
42818,6278264
