,DATE,ENTRIES
0,01/01/2017,994070852445
1,01/01/2018,1118481075635
2,01/02/2017,984549853793
3,01/02/2018,1121340360296
4,01/03/2017,998050112614
5,01/03/2018,1116056584978
6,01/04/2017,1048653864513
7,01/04/2018,1336037606409
8,01/05/2017,993841775532
9,01/05/2018,1156710557566
10,01/06/2017,994348998805
11,01/06/2018,1131533522854
12,01/07/2017,986744973130
13,01/07/2018,1120196556081
14,01/08/2017,989740718875
15,01/08/2018,1122330676396
16,01/09/2017,997838671182
17,01/09/2018,1159855706441
18,01/10/2017,999773935969
19,01/10/2018,1175947913845
20,01/11/2017,988005042445
21,01/11/2018,1156669363913
22,01/12/2017,989613416501
23,01/12/2018,1099001370416
24,01/13/2017,993777410208
25,01/13/2018,1111123501472
26,01/14/2017,990491261782
27,01/14/2018,1111018718465
28,01/15/2017,984480015298
29,01/15/2018,1118912786128
30,01/16/2017,991697991074
31,01/16/2018,1143151915412
32,01/17/2017,1012364553753
33,01/17/2018,1122789658161
34,01/18/2017,1001017746539
35,01/18/2018,1143107454600
36,01/19/2017,992018841705
37,01/19/2018,1136753621852
38,01/20/2017,986603335144
39,01/20/2018,1120151782387
40,01/21/2017,985412875031
41,01/21/2018,1121393873589
42,01/22/2017,987920963083
43,01/22/2018,1151650302861
44,01/23/2017,996603711614
45,01/23/2018,1221788038150
46,01/24/2017,996789576539
47,01/24/2018,1148192257336
48,01/25/2017,1004017801814
49,01/25/2018,1178273228734
50,01/26/2017,1001150341138
51,01/26/2018,1149838990908
52,01/27/2017,1002202144075
53,01/27/2018,1126048777034
54,01/28/2017,1003463562372
55,01/28/2018,1134149499058
56,01/29/2017,1002699495227
57,01/29/2018,1128527224860
58,01/30/2017,1019081479709
59,01/30/2018,1132488613654
60,01/31/2017,1007229596598
61,01/31/2018,1180716143887
62,02/01/2017,1032674588468
63,02/01/2018,1155576058903
64,02/02/2017,1024042561768
65,02/02/2018,1122331470384
66,02/03/2017,1040752873861
67,02/03/2018,1125512785441
68,02/04/2017,1014417849297
69,02/04/2018,1126083346972
70,02/05/2017,1010376470184
71,02/05/2018,1122177293987
72,02/06/2017,1054972875466
73,02/06/2018,1122314730625
